college_code,college_name,district,branch,category,cutoff_rank
7802,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",Bengaluru Urban,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,1G,7802
7802,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",Bengaluru Urban,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,2AG,8424
7802,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",Bengaluru Urban,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,2AR,9358
7802,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",Bengaluru Urban,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,2BG,11781
7802,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",Bengaluru Urban,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,3AG,6904
7802,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",Bengaluru Urban,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,3BG,6584
7802,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",Bengaluru Urban,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,GM,6389
7802,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",Bengaluru Urban,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,GMK,9379
7802,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",Bengaluru Urban,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,GMR,7574
7802,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",Bengaluru Urban,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,SCG,26425
7802,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",Bengaluru Urban,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,SCK,41199
7802,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",Bengaluru Urban,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,SCR,33087
7802,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",Bengaluru Urban,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,STG,25226
7802,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",Bengaluru Urban,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,STR,27201
77403,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",Bengaluru Urban,CIVIL ENGINEERING,1G,77403
77403,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",Bengaluru Urban,CIVIL ENGINEERING,1R,96372
77403,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",Bengaluru Urban,CIVIL ENGINEERING,2AG,78404
77403,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",Bengaluru Urban,CIVIL ENGINEERING,2AK,94879
77403,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",Bengaluru Urban,CIVIL ENGINEERING,2AR,89432
77403,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",Bengaluru Urban,CIVIL ENGINEERING,2BG,74679
77403,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",Bengaluru Urban,CIVIL ENGINEERING,2BR,79602
77403,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",Bengaluru Urban,CIVIL ENGINEERING,3AG,63732
77403,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",Bengaluru Urban,CIVIL ENGINEERING,3BG,63278
77403,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",Bengaluru Urban,CIVIL ENGINEERING,3BK,80213
77403,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",Bengaluru Urban,CIVIL ENGINEERING,3BR,71645
77403,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",Bengaluru Urban,CIVIL ENGINEERING,GMK,61622
77403,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",Bengaluru Urban,CIVIL ENGINEERING,GMR,69924
77403,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",Bengaluru Urban,CIVIL ENGINEERING,SCG,84998
77403,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",Bengaluru Urban,CIVIL ENGINEERING,SCK,119593
77403,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",Bengaluru Urban,CIVIL ENGINEERING,SCR,93876
77403,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",Bengaluru Urban,CIVIL ENGINEERING,STG,112510
77403,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",Bengaluru Urban,CIVIL ENGINEERING,STR,127611
6520,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",Bengaluru Urban,COMPUTER SCIENCE AND ENGINEERING,1G,6520
6520,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",Bengaluru Urban,COMPUTER SCIENCE AND ENGINEERING,1K,9347
6520,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",Bengaluru Urban,COMPUTER SCIENCE AND ENGINEERING,1R,7462
6520,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",Bengaluru Urban,COMPUTER SCIENCE AND ENGINEERING,2AG,7544
6520,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",Bengaluru Urban,COMPUTER SCIENCE AND ENGINEERING,2AK,9881
6520,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",Bengaluru Urban,COMPUTER SCIENCE AND ENGINEERING,2AR,8120
6520,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",Bengaluru Urban,COMPUTER SCIENCE AND ENGINEERING,2BG,10476
6520,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",Bengaluru Urban,COMPUTER SCIENCE AND ENGINEERING,3AG,5200
6520,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",Bengaluru Urban,COMPUTER SCIENCE AND ENGINEERING,3BG,5005
6520,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",Bengaluru Urban,COMPUTER SCIENCE AND ENGINEERING,3BR,5867
6520,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",Bengaluru Urban,COMPUTER SCIENCE AND ENGINEERING,GM,4732
6520,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",Bengaluru Urban,COMPUTER SCIENCE AND ENGINEERING,GMK,7871
6520,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",Bengaluru Urban,COMPUTER SCIENCE AND ENGINEERING,GMR,5713
6520,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",Bengaluru Urban,COMPUTER SCIENCE AND ENGINEERING,SCG,24450
6520,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",Bengaluru Urban,COMPUTER SCIENCE AND ENGINEERING,SCK,39060
6520,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",Bengaluru Urban,COMPUTER SCIENCE AND ENGINEERING,SCR,29024
6520,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",Bengaluru Urban,COMPUTER SCIENCE AND ENGINEERING,STG,17552
6520,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",Bengaluru Urban,COMPUTER SCIENCE AND ENGINEERING,STR,19055
22995,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",Bengaluru Urban,ELECTRICAL & ELECTRONICS ENGINEERING,1G,22995
22995,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",Bengaluru Urban,ELECTRICAL & ELECTRONICS ENGINEERING,1R,30612
22995,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",Bengaluru Urban,ELECTRICAL & ELECTRONICS ENGINEERING,2AG,27257
22995,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",Bengaluru Urban,ELECTRICAL & ELECTRONICS ENGINEERING,2AK,31445
22995,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",Bengaluru Urban,ELECTRICAL & ELECTRONICS ENGINEERING,2AR,33469
22995,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",Bengaluru Urban,ELECTRICAL & ELECTRONICS ENGINEERING,2BG,35391
22995,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",Bengaluru Urban,ELECTRICAL & ELECTRONICS ENGINEERING,3AG,21940
22995,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",Bengaluru Urban,ELECTRICAL & ELECTRONICS ENGINEERING,3AK,35779
22995,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",Bengaluru Urban,ELECTRICAL & ELECTRONICS ENGINEERING,3AR,31383
22995,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",Bengaluru Urban,ELECTRICAL & ELECTRONICS ENGINEERING,3BG,22282
22995,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",Bengaluru Urban,ELECTRICAL & ELECTRONICS ENGINEERING,3BR,27832
22995,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",Bengaluru Urban,ELECTRICAL & ELECTRONICS ENGINEERING,GM,19047
22995,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",Bengaluru Urban,ELECTRICAL & ELECTRONICS ENGINEERING,GMK,29635
22995,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",Bengaluru Urban,ELECTRICAL & ELECTRONICS ENGINEERING,GMR,27034
22995,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",Bengaluru Urban,ELECTRICAL & ELECTRONICS ENGINEERING,SCG,57005
22995,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",Bengaluru Urban,ELECTRICAL & ELECTRONICS ENGINEERING,SCK,57559
22995,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",Bengaluru Urban,ELECTRICAL & ELECTRONICS ENGINEERING,SCR,78661
22995,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",Bengaluru Urban,ELECTRICAL & ELECTRONICS ENGINEERING,STG,89143
22995,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",Bengaluru Urban,ELECTRICAL & ELECTRONICS ENGINEERING,STR,106106
10839.5,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",Bengaluru Urban,ELECTRONICS AND COMMUNICATIO N ENGG,2AG,10598
10839.5,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",Bengaluru Urban,ELECTRONICS AND COMMUNICATIO N ENGG,2AK,16310
10839.5,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",Bengaluru Urban,ELECTRONICS AND COMMUNICATIO N ENGG,2AR,11685
10839.5,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",Bengaluru Urban,ELECTRONICS AND COMMUNICATIO N ENGG,2BG,17880
10839.5,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",Bengaluru Urban,ELECTRONICS AND COMMUNICATIO N ENGG,2BR,22894
10839.5,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",Bengaluru Urban,ELECTRONICS AND COMMUNICATIO N ENGG,3AG,8882
10839.5,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",Bengaluru Urban,ELECTRONICS AND COMMUNICATIO N ENGG,3AR,11227
10839.5,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",Bengaluru Urban,ELECTRONICS AND COMMUNICATIO N ENGG,3BG,10324
10839.5,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",Bengaluru Urban,ELECTRONICS AND COMMUNICATIO N ENGG,3BR,11026
10839.5,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",Bengaluru Urban,ELECTRONICS AND COMMUNICATIO N ENGG,GM,8155
10839.5,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",Bengaluru Urban,ELECTRONICS AND COMMUNICATIO N ENGG,GMK,13797
10839.5,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",Bengaluru Urban,ELECTRONICS AND COMMUNICATIO N ENGG,GMR,10312
10839.5,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",Bengaluru Urban,ELECTRONICS AND COMMUNICATIO N ENGG,SCG,37264
10839.5,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",Bengaluru Urban,ELECTRONICS AND COMMUNICATIO N ENGG,SCK,44546
10839.5,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",Bengaluru Urban,ELECTRONICS AND COMMUNICATIO N ENGG,SCR,50780
10839.5,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",Bengaluru Urban,ELECTRONICS AND COMMUNICATIO N ENGG,STG,42545
10839.5,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",Bengaluru Urban,ELECTRONICS AND COMMUNICATIO N ENGG,STK,43067
10839.5,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",Bengaluru Urban,ELECTRONICS AND COMMUNICATIO N ENGG,STR,45642
7596,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",Bengaluru Urban,INFORMATION SCIENCE AND ENGINEERING,1G,7596
7596,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",Bengaluru Urban,INFORMATION SCIENCE AND ENGINEERING,2AG,8266
7596,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",Bengaluru Urban,INFORMATION SCIENCE AND ENGINEERING,2AR,8903
7596,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",Bengaluru Urban,INFORMATION SCIENCE AND ENGINEERING,2BG,13090
7596,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",Bengaluru Urban,INFORMATION SCIENCE AND ENGINEERING,2BK,40080
7596,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",Bengaluru Urban,INFORMATION SCIENCE AND ENGINEERING,2BR,26793
7596,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",Bengaluru Urban,INFORMATION SCIENCE AND ENGINEERING,3AG,6767
7596,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",Bengaluru Urban,INFORMATION SCIENCE AND ENGINEERING,3BG,6535
7596,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",Bengaluru Urban,INFORMATION SCIENCE AND ENGINEERING,GM,6502
7596,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",Bengaluru Urban,INFORMATION SCIENCE AND ENGINEERING,GMK,10867
7596,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",Bengaluru Urban,INFORMATION SCIENCE AND ENGINEERING,GMR,7653
7596,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",Bengaluru Urban,INFORMATION SCIENCE AND ENGINEERING,SCG,31770
7596,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",Bengaluru Urban,INFORMATION SCIENCE AND ENGINEERING,SCR,33279
7596,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",Bengaluru Urban,INFORMATION SCIENCE AND ENGINEERING,STG,28021
7596,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",Bengaluru Urban,INFORMATION SCIENCE AND ENGINEERING,STR,31963
70257,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",Bengaluru Urban,MECHANICAL ENGINEERING,1G,70257
70257,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",Bengaluru Urban,MECHANICAL ENGINEERING,1R,94472
70257,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",Bengaluru Urban,MECHANICAL ENGINEERING,2AG,65823
70257,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",Bengaluru Urban,MECHANICAL ENGINEERING,2AK,72574
70257,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",Bengaluru Urban,MECHANICAL ENGINEERING,2BG,87812
70257,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",Bengaluru Urban,MECHANICAL ENGINEERING,2BR,107428
70257,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",Bengaluru Urban,MECHANICAL ENGINEERING,3AG,53060
70257,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",Bengaluru Urban,MECHANICAL ENGINEERING,3AR,68200
70257,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",Bengaluru Urban,MECHANICAL ENGINEERING,3BG,55779
70257,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",Bengaluru Urban,MECHANICAL ENGINEERING,3BK,61514
70257,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",Bengaluru Urban,MECHANICAL ENGINEERING,3BR,57208
70257,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",Bengaluru Urban,MECHANICAL ENGINEERING,GM,43950
70257,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",Bengaluru Urban,MECHANICAL ENGINEERING,GMK,57275
70257,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",Bengaluru Urban,MECHANICAL ENGINEERING,GMR,56603
70257,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",Bengaluru Urban,MECHANICAL ENGINEERING,SCG,108273
70257,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",Bengaluru Urban,MECHANICAL ENGINEERING,SCK,122776
70257,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",Bengaluru Urban,MECHANICAL ENGINEERING,SCR,171017
70257,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",Bengaluru Urban,MECHANICAL ENGINEERING,STG,121961
70257,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",Bengaluru Urban,MECHANICAL ENGINEERING,STK,160516
70257,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",Bengaluru Urban,MECHANICAL ENGINEERING,STR,146564
143668,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",Bengaluru Urban,CIVIL ENGINEERING,1G,143668
143668,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",Bengaluru Urban,CIVIL ENGINEERING,2AG,136248
143668,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",Bengaluru Urban,CIVIL ENGINEERING,2AK,145540
143668,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",Bengaluru Urban,CIVIL ENGINEERING,2AR,151931
143668,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",Bengaluru Urban,CIVIL ENGINEERING,2BG,103223
143668,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",Bengaluru Urban,CIVIL ENGINEERING,3AG,108682
143668,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",Bengaluru Urban,CIVIL ENGINEERING,3BG,97522
143668,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",Bengaluru Urban,CIVIL ENGINEERING,3BR,112853
143668,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",Bengaluru Urban,CIVIL ENGINEERING,GM,89550
143668,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",Bengaluru Urban,CIVIL ENGINEERING,GMK,98630
143668,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",Bengaluru Urban,CIVIL ENGINEERING,GMR,94744
143668,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",Bengaluru Urban,CIVIL ENGINEERING,SCG,131896
143668,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",Bengaluru Urban,CIVIL ENGINEERING,SCK,139264
143668,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",Bengaluru Urban,CIVIL ENGINEERING,SCR,138771
143668,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",Bengaluru Urban,CIVIL ENGINEERING,STG,162948
143668,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",Bengaluru Urban,CIVIL ENGINEERING,STR,205515
21731,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",Bengaluru Urban,COMPUTER SCIENCE AND ENGINEERING,1G,21731
21731,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",Bengaluru Urban,COMPUTER SCIENCE AND ENGINEERING,2AG,24226
21731,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",Bengaluru Urban,COMPUTER SCIENCE AND ENGINEERING,2AR,25590
21731,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",Bengaluru Urban,COMPUTER SCIENCE AND ENGINEERING,2BG,31602
21731,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",Bengaluru Urban,COMPUTER SCIENCE AND ENGINEERING,2BR,45824
21731,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",Bengaluru Urban,COMPUTER SCIENCE AND ENGINEERING,3AG,21488
21731,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",Bengaluru Urban,COMPUTER SCIENCE AND ENGINEERING,3AR,26783
21731,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",Bengaluru Urban,COMPUTER SCIENCE AND ENGINEERING,3BG,22331
21731,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",Bengaluru Urban,COMPUTER SCIENCE AND ENGINEERING,3BR,23900
21731,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",Bengaluru Urban,COMPUTER SCIENCE AND ENGINEERING,GM,20897
21731,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",Bengaluru Urban,COMPUTER SCIENCE AND ENGINEERING,GMK,22440
21731,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",Bengaluru Urban,COMPUTER SCIENCE AND ENGINEERING,GMR,23243
21731,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",Bengaluru Urban,COMPUTER SCIENCE AND ENGINEERING,SCG,43445
21731,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",Bengaluru Urban,COMPUTER SCIENCE AND ENGINEERING,SCR,44599
21731,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",Bengaluru Urban,COMPUTER SCIENCE AND ENGINEERING,STG,37856
21731,"Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",Bengaluru Urban,COMPUTER SCIENCE AND ENGINEERING,STK,51537
